LABEL,NEWS
Business,"Indie music hub Bandcamp has laid off half of its employees, less than a month after the announcement that music licensing company Songtradr had purchased the platform from video game publisher Epic Games"
Business,"If they can’t control the conversation, they just pick up their marbles and go home,” Times columnist @marymacTV writes of the major Hollywood studios in her latest column about the actors’ strike."
Business,"I grew up having Thrifty's as a treat for good grades or good behavior A future without Thrifty's ice cream counters looms for Southern California,"
Business,"Gas prices continue to drop across the U.S., but Californians still have to pay more"
Business,"From Netflix to DisneyPlus to AppleTVPlus and beyond, here's why streaming costs are going up and what it means for consumers"
Business,Fake court records. Forged signatures. Head of celebrity-fronted travel company confronts fraud claims -
Business,Fake court records. Forged signatures. Head of celebrity-fronted travel company confronts fraud claims
Business,"During the Great Depression, the government-sponsored Home Owners’ Loan Corporation created security risk maps to evaluate mortgage lending risks. Greenlined areas were considered “best” for investment. Redlined zones were deemed “hazardous.”"
Business,Dozens of Thrifty Ice Cream counters — famed for affordable ice cream and cylindrical scoopers — are closing in California as Rite Aid files for bankruptcy. What will become of the iconic brand?
Business,California to get up to $1.2 billion in federal funds to expand hydrogen energy projects
Business,California healthcare workers to get $25 an hour after Newsom approves a historic minimum wage
Business,Bad Bunny judged a 'Shark Tank'-style competition for Latino businesses. Here's what happened.
Business,"As a LGBTQ travel expert embarks on luxe tours of Africa, Paris, Italy and Spain, his criminal past and alleged efforts to conceal it are at the center of an extraordinary lawsuit that is winding its way through a Delaware court."
Business,"Another billion-dollar Powerball jackpot, another big win for a SoCal immigrant-owned shop"
Business,"A new law allows homeowners to sell ADUs like condos, boosting homeownership. Here's how AB 1033 works"
Business,A future with fewer Thrifty Ice Cream counters looms in SoCal 
Business,A future with fewer Thrifty Ice Cream counters looms in SoCal
Business,"A convicted felon started a LGBTQ travel company with a ""Mean Girls"" star and an ""Amazing Race” runner-up. Now he faces questions about his past."
Business,"A coalition of solar companies, conservationists and other groups has come to terms on a set of principles — and plans for further collaboration — that could speed up the construction of badly needed renewable energy projects."
Business,"$1.73-billion Powerball ticket sold in Frazier Park, second-highest jackpot ever."
Business,"“Unlike the 160,000 SAG-AFTRA members, and the hundreds of thousand other workers impacted by the strike,” Hollywood studio heads like Bob Iger, Ted Sarandos, and David Zaslav are “still getting (very large) paychecks,” writes"
Business,"""The U.S. has more than enough sunlight and wind to keep electricity flowing — if only we could stop fighting over where to put solar panels and wind turbines. A new agreement could be the first step toward bringing some of that fighting to an end."
Business,"""New: A coalition of solar companies, conservationists and other groups has come to terms on a set of principles — and plans for further collaboration — that could speed up the construction of badly needed renewable energy projects."
Business,"""Negotiations between #sagaftra and the Hollywood studios hit a snag Wednesday, according to sources close to the talks. Film and TV performers have been on strike since mid-July."
Business,"""Breaking: Microsoft has acquired gaming giant Activision Blizzard. It's the biggest deal in video game history ."
Business,"""Bad Bunny judged a ‘Shark Tank’-style competition for Latino businesses. Here’s what happened."
Business,"“As streaming increasingly resembles broadcast television–with weekly episodes and advertising–now is precisely the time for it to pony up on residuals,” writes @marymacTV. “They should just be happy SAG isn’t asking for back pay.”"
Business," It's over! The era of cheap streaming has come to a close. Yes, your bills are going up and here's why. Hollywood is dealing with a heavy-duty hangover."
Business," ""In the wake of the historic new WGA contract, it looks like AI is set to be a part of Hollywood's storytelling machinery long-term."
Crime,Woman shot a man allegedly trying to force his way into her Hollywood Hills home
Crime,Video shows Georgia deputy fatally shooting exonerated Black man during traffic stop
Crime,U.S. sailor from Monterey Park admits selling secrets to China
Crime,Two dead in separate shootings at Halloween parties in Southern California
Crime,"THIS STORY IS WILD. ""A couple hooked on ‘Crime Junkie’ podcast heard the case of a slain priest and the seemingly innocent Apache hitchhiker imprisoned for the crime. They were uniquely positioned to help."
Crime,"Thieves target a century-old crypt in Colorado, pry open casket, steal portions of body"
Crime,"The stars aligned when a young married couple hooked on CrimeJunkie, a popular true-crime podcast, stumbled upon the curious case of a murdered Catholic priest and the seemingly innocent Apache hitchhiker who had been imprisoned for the crime."
Crime,"The stars aligned when a young married couple hooked on #CrimeJunkie, a popular true-crime podcast, stumbled upon the curious case of a murdered Catholic priest and the seemingly innocent Apache hitchhiker who had been imprisoned for the crime"
Crime,The man who chronicled Tupac Shakur's slaying is now accused of orchestrating it
Crime,Tekashi 6ix9ine arrested in the Dominican Republic in alleged assault on music producers
Crime,Security guard arrested in connection with multiple sexual assaults in Koreatown
Crime,Police hunt for gunman after deadly shooting in Wilmington
Crime,"Off-duty officer shot at would-be car burglar, LAPD says"
Crime,Mexican Mafia foot soldiers guilty of 2017 murder
Crime,Liam Payne banned from driving in U.K. for six months after he's caught speeding in one direction
Crime,LAPD assistant chief faces termination but no criminal charges after stalking allegation.
Crime,Judge rejects no-jail plea deal for L.A. deputy charged in death of suicidal man
Crime,"Hells Angels got rid of bodies at Fresno funeral home known as the 'pizza oven,' feds say"
Crime,"Head of illicit lab that sparked conspiracy theories arrested, accused of misbranding medical tests"
Crime,He was beaten to death in Men's Central Jail. It took staff nearly 4 hours to notice
Crime,Hayward police's body-cam video of shooting of a 37-year-old man raises questions about what really happened
Crime,Former NFL player Sergio Brown arrested in San Diego on suspicion of mother's murder.
Crime,Footage of man dragged by LAPD cruiser is released as part of investigation of officers
Crime,First suspect identified in shootout with Riverside County deputies
Crime,"Driver plows through Brea tobacco shop, narrowly missing a customer and employee"
Crime,Detective alleges sexual hazing on LAPD's Centurions football team
Crime,D.A. sends audio leak eavesdropping probe back to LAPD for additional investigation
Crime,"Crime is down, but fear is up: Why is L.A. still perceived as dangerous?"
Crime,A Sacramento mother and two sons plead guilty in $600-million catalytic converter conspiracy
Crime,A married couple listening to a true-crime podcast led to a man's exoneration in the murder of a priest
Crime,"A California man looking for gold found death instead. Decades later, he finally has a name."
Crime,2 people found dead in North Hollywood from gunshot wounds
Crime,$13.5 million awarded to family of man who died after LAPD officers pinned him to the ground
Crime,"""Two lawsuits, and dozens of supporting documents filed with the court, weave a riveting tale of Eric Hodgson’s last 16 years and his alleged repeated attempts to hide his felony record."
Crime,"""Tupac Shakur was killed in Las Vegas, but it was in Compton where the aftershocks erupted. Here’s the story of Shakur’s death and the retaliatory killings that spiraled from it."
Crime,"""Prosecutors on Tuesday said they will ask a grand jury to consider whether actor Alec Baldwin should again be criminally charged in the accidental 2021 shooting death of a cinematographer on the New Mexico set of the Western film “Rust.”"
Education,Why Tim O'Brien's first novel in 20 years is about America's 'mythomania'.
Education,Whose stories do we tell? Israeli-Palestinian tensions polarize an Orange County school district.
Education,"We created a bilingual guide for kids under 5 that highlights expert tips, must-read books and local resources to help you get your child hooked on reading."
Education,UC Davis condemns post apparently by professor threatening 'zionist journalists'
Education,The case of Southwest Community College professor provides a rare and detailed look into how one woman determined to seek justice against an accused harasser encountered years of investigations and questioning before having her day in court
Education,Test scores show L.A. students still struggling to recover from pandemic setbacks
Education,Student interest in space studies & careers is booming.
Education,"Right-wing agitators, spreading anti-LGBTQ+ messages in Southern California school board meetings, are backed by deep-pocketed  conservative strategists interested in energizing Republicans."
Education,New law will allow some Mexican residents to pay in-state tuition at California community colleges
Education,"Most California students fall short of grade level standards in math and reading, scores show"
Education,"McKay Coppins' new biography, 'Romney: A Reckoning,' boast great access, lots of gossip and questions about whether Romney's stand against Donald Trump matters:"
Education,Louise Glück won the 2020 Nobel Prize in literature. Here's a guide to her work.
Education,"Inspiring 'the next generation of explorers' fuels big partnership between UC Berkeley, NASA"
Education,How L.A. libraries are supporting the next generation of Latino authors
Education,Hodgson adamantly refutes these claims and alleged that he forged the court orders at the behest of the former company’s co-founder.
Education,"Eric Blaine Hodgson founded LGBTQ+ travel company OUTBound in late 2020 with “Mean Girls” star Jonathan Bennett and Bennett’s husband, “Amazing Race” alum Jaymes Vaughan."
Education,"Critics say the right-wing anti-LGBTQ+ agitators attract attention, but are just bit players in a much larger conservative advance into California’s public schools."
Education,Bennett’s publicist issued a statement from him and Vaughan that said they were “blindsided and absolutely shocked to learn this information” and are launching their own investigation.
Education,"Angry over antisemitism, billionaires are seeking to cancel free speech on campus"
Education,"A Southwest Community College professor, determined to seek justice against an accused harasser -- a top campus administrator-- encountered years of investigations and questioning before ultimately having her day in court."
Education,"A few things @kevrector, @howardblume and I learned as we traced the roots of the very organized movement in California to get parental notification policies enacted in schools when it comes to student gender identity"
Education,A feminist take on Orwell's '1984' reads like the original — only better
Entertainment,"Your intrepid @latimes editor is on the scene at the (pretty sedate, honestly) Taylor Swift concert doc premiere."
Entertainment,You don't have to be a Swiftie to love Taylor Swift. The Eras tour movie premiere proves it. Endeavor's Ari Emanuel denounces Israeli Prime Minister Netanyahu after deadly weekend attack.
Entertainment,"You don’t get to say ‘we’re doing everything we can to get people back to work’ and then just walk away when the mood strikes you, Times columnist @marymacTV writes of the AMPTP after talks between studios and SAG-AFTRA broke down."
Entertainment,"You can believe in the magic of Hollywood while understanding that it is not literally magic—people on every level expect to make a living doing whatever job they do in the entertainment industry,” writes @marymacTV. “Including, you know, actors.”"
Entertainment,Wild screening at the Grove last night. Our @mikaelwood and @JustinCChang have thoughts. A fascinating conversation about pop spectacle and the future of movies
Entertainment,Which TaylorSwift era is the worst? Can these swifities name the QB that throws footballs to Travis Kelce? They spent HOW much on Swift gear and tix?
Entertainment,Where he goes: Bad Bunny announces 2024 Most Wanted tour
Entertainment,"When it comes to the Grammys, xboygeniusx immediately points to MusiCares, the nonprofit that provides financial assistance, medical care and more for musicians regardless of status. “I had therapy for years paid by MusiCares,” Bridgers said."
Entertainment,"We sent our photo team out to capture the scene as Swifties celebrated the opening weekend of the “Taylor Swift: The Eras Tour"" concert film. Check out more pics from weekend 1:"
Entertainment,Watch a livestream of tonight's L.A. Times Book Club event with former Washington Post Editor Martin Baron at 6 pm.
Entertainment,Travis Barker reveals gnarly hand injury after Blink-182's show in England
Entertainment,"Times reporters @villarrealy and @MeredithBlake discuss how Season 5 of ""Love Is Blind"" went off the rails."
Entertainment,"Three months into the actors' strike, Americans still side with guild members"
Entertainment,"This morning, #sagaftra members showed up in force at the picket line outside Netflix HQ after negotiations between SAG-AFTRA and the #AMPTP broke down late last night."
Entertainment,The Times' jenyamato interviews the horror master
Entertainment,The Taylor Swift: Eras Tour concert film will premiere Wednesday at AMC The Grove 14.
Entertainment,"The studios created every problem they now face; it’s their responsibility to get back in that room and clean up their own mess, Times columnist @marymacTV writes of the AMPTP."
Entertainment,The steel-and-concrete co-star of the Taylor Swift ‘Eras’ movie? Inglewood’s SoFi Stadium
Entertainment,The steel-and-concrete co-star of the Taylor Swift 'Eras' movie? Inglewood's SoFi Stadium
Entertainment,The steel-and-concrete co-star of the Taylor Swift 'Eras' movie? Inglewood's SoFi Stadium
Entertainment,"The only people whose opinions on ""Love Is Blind"" I care about: suggest what it would take to get the show back on track"
Entertainment,"The missed opportunities to put butts in seats are endless. The silence on TikTok is deafening,” Rebecca Angelo and Lauren Schuker Blum write of their film “Dumb Money,” released amid the actors’ strike."
Entertainment,"The majority of respondents in a new survey said they hadn’t seen a single movie in theaters in the last year. Moviegoing was highest among those ages 18 to 34, almost two-thirds of whom said they had seen at least one movie in a theater."
Entertainment,"The first movie to screen at the newly renovated Egyptian Theatre? Netflix’s upcoming thriller “The Killer” followed by a Q&A with the film’s director, David Fincher."
Entertainment,The Engagement Party's' decor is sharper than its wit
Entertainment,The creator of Final Destination spoke to jenyamato about how the horror franchise should evolve
Entertainment,The calm before the storm at the premiere of Taylor Swift: The Eras Tour at The Grove.
Entertainment,"The American Cinematheque will continue to program the Egyptian Theatre Friday through Sunday, with new owner Netflix, which also has taken over the Paris Theater in New York, handling the other days."
Entertainment,"Ted Sarandos, co-chief of Netflix, lamented the union’s latest counter-offer on the revenue sharing a “bridge too far.”"
Entertainment,"Taylor Swift is at the Chiefs v. Broncos game tonight IRL. Perhaps she could take in a late night screening of ""Taylor Swift: The Eras Tour"" after the game."
Entertainment,"Taylor Swift and Travis Kelce hold hands, confirming their relationship status all too well"
Entertainment,"Support among the American public for the major Hollywood studios is at 7%, according to a survey conducted earlier this month for The Times by Canada-based polling firm Leger."
Entertainment,Sonic Youth co-founder Thurston Moore cancels U.S. book tour due to 'debilitating' health issue
Entertainment,Somber Pete Davidson welcomes back 'SNL' with an indelible nod to Middle East 'suffering'
Entertainment,"Since May, 45,000 jobs in the entertainment and sound recording industry have been erased from payrolls, “reflecting the impact of the labor disputes,” according to the U.S. Bureau of Labor Statistics."
Entertainment,Shygirl cancels joint North American joint tour with Tinashe due to respiratory condition
Entertainment,"Screenwriter Jeffrey Reddick is immensely proud of FINAL DESTINATION but he feels the franchise has a long way to go. Our jenyamato goes deep with him on race, his Kentucky upbringing and the ""country gumption"" that got him in the horror game."
Entertainment,Screenwriter Eric Roth on 'Killers of the Flower Moon' and a life of big scripts
Entertainment,"SAG-AFTRA, studio negotiations break down. Gap 'too great.'"
Entertainment,"SAG-AFTRA eases anti-costume Halloween edict for children, spurring further criticism"
Entertainment,"Review: Immortality is for sale in 'Divinity,' a sci-fi thinker destined for a long cult life"
Entertainment,Review: Britney Spears' memoir is a Gothic horror story
Entertainment,Review: Blockbuster beauty and epic disaster intertwine in Julian Charrière's art
Entertainment,"Review: 'The Pigeon Tunnel' is spy versus spy, as clever documentarian meets cagey novelist"
Entertainment,Priscilla' L.A. premiere to change venue after IATSE threatens to picket Hollywood Legion Theater
Entertainment,"Piper Laurie, the Oscar and Emmy-nominated actor who earned distinction in films such as “Carrie” and “Children of a Lesser God” and cult status in the quirky mystery drama series “Twin Peaks,” has died. She was 91."
Entertainment,"People ages 18 to 34 reported spending roughly as much time watching videos on TikTok as they did watching scripted programming, according to a survey conducted earlier this month for The Times by Canada-based polling firm Leger."
Entertainment,"Over the next several months, the renovated Egyptian Theatre will showcase David Fincher’s thriller “The Killer,” Bradley Cooper’s Leonard Bernstein biopic “Maestro” and “The Wonderful Story of Henry Sugar” and other short films by director Wes Anderson."
Entertainment,"Over the last 100 years, the influence of #Disney on entertainment and pop culture has been profound"
Entertainment,"Oprah Winfrey says starring in 'The Color Purple' was 'the best $35,000' she ever earned"
Entertainment,"of course we were going to do an RBD story ""From telanovela to global sensation: RBD reunites to give fans a night of nostalgia"
Entertainment,"Now that “What Was I Made For?” is the miserabilist hit from the year’s biggest movie, girlies of all genders will have plenty to unpack whenever Billie Eilish hits the road again."
Entertainment,"Nodal, Rauw Alejandro, Carin Leon and others set to perform at this year's Latin Grammy Awards"
Entertainment,Neon' puts the spotlight on Miami's music scene with help from the 'King of Reggaeton'
Entertainment,"Negotiations between #sagaftra and the #AMPTP broke down Wednesday, with the entertainment companies saying negotiations on a new contract have been suspended."
Entertainment,"More than a quarter of Americans said they didn’t subscribe to any streaming services, according to a survey conducted earlier this month for The Times by Canada-based polling firm Leger."
Entertainment,"Merida asks Baron about the time Liev Schreiber, the actor who portrays Baron in the film “Spotlight,” visited The Washington Post: “Did you feel like he would be a good ‘Marty Baron’?”"
Entertainment,Megan Thee Stallion settles lawsuit against her label as both parties agree to part ways
Entertainment,Mary Lou Retton's 'DWTS' partner shares gymnast's health update amid ICU scare.
Entertainment,Mary Lou Retton’s ‘DWTS’ partner shares gymnast’s health update amid ICU scare: ‘She’s fighting’
Entertainment,"Martin Scorsese’s “Killers of the Flower Moon” is “both the highly skilled culmination of a master’s output and a wobbly first step in a new direction,” writes Times film critic Justin Chang. "
Entertainment,"Martin Scorsese’s “Killers of the Flower Moon” is “both the highly skilled culmination of a master’s output and a wobbly first step in a new direction,” writes Times film critic Justin Chang."
Entertainment,Margot Robbie and Ryan Gosling will reportedly star in an ‘Ocean’s 11’ prequel. Here’s what we know:
Entertainment,"Madonna debuts Celebration tour, months after postponing amid illness: 'I didn't think I would make it'"
Entertainment,Lupita Nyong'o and Selema Masekela have split up; she says 'deception' was a factor
Entertainment,Looking for a book in the long tradition of Gothic horror? @jawnitahas you covered.
Entertainment,LeVar Burton is replacing Drew Barrymore as the host of the 74th National Book Awards after Barrymore's invitation was rescinded over her controversial announcement that her talk show would resume amid the Hollywood writers’ and actors’ strikes.
Entertainment,Lee Greenwood thinks Maren Morris doesn't 'understand country music at all'
Entertainment,"Lara Parker, who starred as the intelligent and conniving witch Angelique Bouchard in ABC’s gothic TV soap opera “Dark Shadows,” died Thursday at her home in L.A. She was 84."
Entertainment,Lana Del Rey defends her biblical knowledge after being accused of witchcraft by a Christian
Entertainment,L.A. fans go all out for Taylor Swift movie — and reveal how much they've spent on her
Entertainment,Kevin Spacey gets a standing ovation at Oxford after monologue: 'I am sick of this false world'
Entertainment,Kelly Clarkson relocated to New York City because she 'just can't live in L.A. anymore'
Entertainment,Julia Fox says dating Kanye West was 'unsustainable' and 'overwhelming.' She told Drew Barrymore it became difficult to juggle the controversial rapper's needs: 
Entertainment,Julia Fox says dating Kanye West made her feel like she had another baby: 'I couldn't do it'
Entertainment,"Judd Apatow says of legendary ""Killers of the Flower Moon"" screenwriter Eric Roth: “All writers are tortured, but of all the writers I know, Eric seems to be in the least amount of pain.”"
Entertainment,"Judd Apatow says of legendary ""Killers of the Flower Moon"" screenwriter Eric Roth: “All writers are tortured, but of all the writers I know, Eric seems to be in the least amount of pain.”"
Entertainment,"Join the L.A. Times Book Club to find out all about our upcoming events with authors, exciting new book coverage, and more."
Entertainment,Joe Jonas and Sophie Turner will be working out the rest of their divorce in private
Entertainment,"Joan Baez talked to The Times about climate dread, Bob Dylan and why she feels Phoebe Bridgers is carrying on her legacy."
Entertainment,"Joan Baez on facing trauma, her Bob Dylan epiphany and belonging to the 'no facelift'"
Entertainment,"Jeezy speaks out on divorce, says decision to leave Jeannie Mai 'was not made impulsively'"
Entertainment,Jeannie Mai says she's been taking a break after Jeezy split to 'disconnect' and 'heal'
Entertainment,"It’s the sort of anti-single in that it’s a piano ballad,” Finneas said of “What Was I Made For,” the viral #Barbie track, “but everybody has this moment of recognition.”"
Entertainment,"It’s set in New York, the most diverse city in the world, But all the kids are white"
Entertainment,It could finally secure Monét a place in the pop-R&B firmament that she helped craft for so many others.
Environment,"Yesterday, there may have been a breakthrough."
Environment,"wow...this is amazing...never in my lifetime… 'I've never seen anything like this': Death Valley gleams with water, wildflowers and color"
Environment,Volunteer brigades will help prep for disasters in area devastated by Woolsey fire
Environment,"Under a temporary mining ban, 4 rare plant species can bloom in San Bernardino forest"
Environment,"Typically, now is the time when creeks are filled with young spring-run Chinook salmon. But this year, the salmon population has plummeted, prompting an urgent effort to save the remaining wild fish."
Environment,"The rugged and breathtaking beauty of Point Conception and the larger Gaviota Coast — has enthralled humans for thousands of years. Now, a new conservation and research effort hopes to restore this region to its original state."
Environment,"The rugged and breathtaking beauty of Point Conception — and the larger Gaviota Coast — has enthralled humans for thousands of years. Now, a new conservation and research effort hopes to restore this region to its original state."
Environment,"The process of making hydrogen is energy intensive, and skeptics say it could ultimately emit more planet-warming carbon."
Environment,"The people and companies fighting over solar power need to start compromising, as soon as possible. The alternative is a world that none of us wants to live in."
Environment,"The landscape is the focus of more than 100 ongoing scientific studies and ecological recovery projects led by an alliance of researchers from universities and federal agencies, including the National Aeronautics and Space Administration."
Environment,"Spiders, spiders everywhere? Tarantula mating season starts early amid threats to arachnids"
Environment,"San Marino and Pasadena, for example, have average tree canopy coverage of nearly 26% and 24%, respectively, according to an L.A. County tree canopy map."
Environment,New law will ban rat poison that was harmful to wildlife
Environment,"Mid-October heat wave rises in Southern California, increasing fire risk."
Environment,"If you’re not plugged into the hydrogen discourse, the clean-burning fuel is at the center of the climate conversation this week following a major announcement from the Biden administration."
Environment,"I've never seen anything like this': #DeathValley gleams with water, wildflowers and color"
Environment,How L.A.'s bird population is shaped by historic redlining and racist loan practices
Environment,Historically redlined areas have less tree canopy and less bird biodiversity.
Environment,Here's one way to protect California's beaches from rising seas: Stop messing with them
Environment,"Fortunately, there's reason for hope today."
Environment,"For members of the Yurok, Karuk, and other tribes, the undamming of the Klamath represents an opportunity to heal the ecosystem and help fish populations recover by opening up hundreds of miles of spawning habitat."
Environment,Environmentalists are turning a rugged stretch of California coast into a lab for conservation
Environment,Engineering buried L.A.’s river. Artist Lauren Bon is engineering a plan to free it in a project that will draw water from the L.A. River and channel it to a well on a property owned by Metabolic Studio on the western banks of the river:
Environment,Engineering buried L.A.'s river. Artist Lauren Bon is engineering a plan to free it
Environment,"Desperate times call for desperate measures. State and federal biologists are rounding up spring-run chinook salmon from Sacramento River tributaries, in hopes of preserving their genetic lineage in case they go extinct in the wild:"
Environment,Critics expressed concern about its potential as a source of clean energy.
Environment,"Countless species of #spiders have been wiped out by development and climate change. If they were ""spider monkeys instead of spiders, their plight 'would have been on the front page of every newspaper."
Environment,Coachella Valley farmworkers struggle after crops were heavily damaged by Tropical Storm Hilary
Environment,California’s hub will produce hydrogen exclusively from renewable energy and biomass.
Environment,"California's epic rain year boosted groundwater levels, but not enough to recoup losses ."
Environment,"California will receive up to $1.2 billion to build or expand on hydrogen projects that will help power public transportation, port operations, and heavy-duty transport."
Environment,"California seriously passed so many climate, energy and environment laws this year."
Environment,"California has some of the highest diversity of spiders in the world, yet climate change and habitat encroachment are killing them."
Environment,California grants protection for rare cliff-dwelling daisy amid outcry over mining operation
Environment,"California Gov. Gavin Newsom will head to China next week to meet with officials on such environmental imperatives as offshore wind power, air pollution reduction and the transition to fully electric vehicles."
Environment,Biologists have begun collecting California’s spring-run Chinook salmon to raise them in captivity in an effort to prevent extinction.
Environment,"As a result, these areas have less bird biodiversity and larger populations of species adapted to dense urban environments."
Environment,"Although friction between the world’s largest greenhouse gas emitters makes binational cooperation difficult, experts say California can help to bridge this gap through ‘subnational’ diplomacy."
Environment,"“We have so much hope that this river will restore itself,” said Yurok attorney Amy Bowers Cordalis. “Dam removal is just the beginning. Dam removal is the end of colonization of this river.”"
Environment,"“We had to dig deep for evidence of the great society buried under our modern empire of terraced and graded slopes, rivers sheathed in concrete, industrial development, freeways and sprawl,” said Travis Longcore, a professor at UCLA’s Institute of the Environment and Sustainability."
Environment,"“We believe this project will serve as a vital resource for regional and local planning efforts involving sustainability, restoring habitat with native vegetation, and adapting to climate change,” Longcore said."
Environment,"""San Marino and Pasadena, for example, have average tree canopy coverage of nearly 26% and 24%, respectively, according to an L.A. County tree canopy map."
Environment,"""Researchers say that L.A.'s bird species are remarkably segregated."
Environment,"""New: The Inyo rock daisy a rare California flower that sprouts from the crevices of cliff walls in the southern Inyo Mountains has been listed as a state threatened species following public outcry over nearby mining operations."
Environment,"""If we want to solve climate change, solar companies and environmental groups need to stop fight and start working together."
Environment,"""Historically redlined nonwhite communities have less tree canopy and greater housing density than greenlined neighborhoods."
Environment,"""A new study found evidence that income inequality and historic redlining affect the types of birds people experience across Los Angeles County."
Environment,"‘I’ve never seen anything like this’: Death Valley gleams with water, wildflowers and color"
Food and Dining,Exploring East L.A.: Discover 25 Must-Try Tacos in the Heart of Mexican Cuisine.
Food and Dining,From the Valley to Santa Monica: A Culinary Journey Through L.A.'s 25 Best Pizzas.
Food and Dining,Celebrating the Richness of Sushi in L.A.: 20 Top Picks for Seafood Lovers.
Food and Dining,L.A.'s Top 20 Vegan Delights: A Guide to the Best Plant-Based Eateries.
Food and Dining,The Ultimate Comfort Food: 20 Places in L.A. for an Unforgettable Mac and Cheese.
Food and Dining,Culver City's Culinary Renaissance: 15 New Restaurants Redefining Dining.
Food and Dining,The Best of Downtown L.A.: 22 Restaurants You Can't Miss This Year.
Food and Dining,Fresh Pasta Perfection: 20 Italian Restaurants in L.A. That Do It Right.
Food and Dining,From Boba to Brews: L.A.'s Top 20 Spots for Your Caffeine Fix.
Food and Dining,21 Refreshing Smoothie and Juice Bars to Try in Sunny L.A.
Food and Dining,The Most Decadent Desserts: L.A.'s 20 Sweetest Spots Revealed.
Food and Dining,L.A.'s Hidden Gems: 18 Cozy Brunch Spots for a Perfect Sunday.
Food and Dining,Discover L.A.'s Fusion Frenzy: 19 Restaurants Mixing It Up With Innovative Menus.
Food and Dining,"The Best Seafood in L.A.: 20 Restaurants Serving Fresh, Oceanic Delights."
Food and Dining,22 L.A. Steakhouses That Will Change the Way You Think About Meat.
Food and Dining,From Food Trucks to Fine Dining: L.A.'s Most Unforgettable Culinary Experiences.
Food and Dining,The Spice Trail: 21 L.A. Restaurants That Bring the Heat.
Food and Dining,L.A.'s Love Affair with Tacos: 25 Spots That Are Redefining the Taco Scene.
Food and Dining,Indulge in L.A.'s Bakery Scene: 20 Spots with Irresistible Baked Goods.
Food and Dining,Savoring L.A.'s Street Food: 23 Stands and Markets for the Authentic Local Taste.
Food and Dining,"Without a doubt, these are the most iconic burgers right now in Los Angeles."
Food and Dining,These are the most iconic burgers in L.A.
Food and Dining,These are the most iconic burgers in L.A.
Food and Dining,"On this list, you’ll find 17 of the best, most indulgent fries in Los Angeles."
Food and Dining,"No matter your preference, you’re guaranteed to find your perfect fry in L.A."
Food and Dining,Koreatown’s food scene has become one of the most exciting in the region — and perhaps the country.
Food and Dining,Koreatown’s food scene has become one of the most exciting in the region — and perhaps the country.
Food and Dining,Here are 33 of our favorite burgers in Southern California.
Food and Dining,"From South L.A. to Venice, West Hollywood, Koreatown, San Gabriel Valley and Orange County, here are 33 of our favorite burgers in Southern California."
Food and Dining,"A new Taiwanese and Chinese cafe in Koreatown is serving spins on classic rice bowls, tea service, egg tarts, milk buns, sandwiches and sides."
Health,"Walgreens pharmacy staffers walk out across the U.S., citing unsafe working conditions"
Health,Two deputies injured in training incident at Pitchess Detention Center.
